"Call_Center_Region","Customer_Balance","Customer_Name","Customer_Segment","Customer_State","Discount","Employee_Dept","Employee_Name","Employee_Salary","Employee_Yrs_Exp","Fill_Time","Gross_Profit","Item_Count","Manager_Name","Market_Segment","Order_Date","Order_Day","Order_ID","Order_Month","Order_Priority","Order_Quantity","Order_Quarter","Order_Status","Order_Year","PID","Price","Prod_TypeB","Prod_TypeC","Prod_TypeD","Prod_TypeE","Product_Base_Margin","Product_Container","Product_ID","Product_In_Stock","Product_Name","Receive_Time","Received_Date","Sales_Total","Ship_Charge","Ship_Date","Ship_Handle_Cost","Ship_Mode","Ship_Priority","Ship_Promo","Supplier_Balance","Supplier_Name","Supplier_Region","Supplier_State","Tax_Rate","Total_Cycle_Time","birst_constant_one","row"
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.08","1084","Doten, Dorothy","57081.0000","2","1","-5.02","1","Rudisill, Martha","HOME OFFICE","2000-11-11 00:00:00","11","42368","11","1-URGENT","5","Q4","O","2000","35194","0.9900","TECHNOLOGY","COMPUTER PERIPHERALS","MEDIA","DVD","0.4","SMALL PACK","589","YES","Maxell 4.7GB DVD-R 5/Pack","3","2000-11-15 00:00:00","6.91","1.9900","2000-11-12 00:00:00","1.9900","REGULAR AIR","0","REGULAR SHIPPING","4516","Supplier_050","EAST","MARYLAND","0.08","4","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.08","1084","Doten, Dorothy","57081.0000","2","1","-54.23","1","Rudisill, Martha","HOME OFFICE","2000-11-11 00:00:00","11","42368","11","1-URGENT","45","Q4","O","2000","35195","39.2900","FURNITURE","OFFICE FURNISHINGS","CLOCKS","CLOCKS","0.49","SMALL BOX","1172","YES","Howard Miller 12"" Round Wall Clock","3","2000-11-15 00:00:00","1711.66","19.9900","2000-11-12 00:00:00","19.9900","REGULAR AIR","0","REGULAR SHIPPING","3793","Supplier_073","WEST","UTAH","0.04","4","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.08","1098","Woods, Jayne Ann","72733.0000","7","2","78.57","1","Stevenson, Carol","HOME OFFICE","2001-12-31 00:00:00","31","28391","12","4-NOT SPECIFIED","41","Q4","O","2001","45682","14.4800","OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","BINDING SUPPLIES","BINDING SUPPLIES","0.38","SMALL BOX","1471","NO","GBC White Gloss Covers, Plain Front","13","2002-01-15 00:00:00","569.03","6.4600","2002-01-02 00:00:00","6.4600","REGULAR AIR","0","REGULAR SHIPPING","7015","Supplier_072","CENTRAL","WISCONSIN","0.03","15","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.08","1098","Woods, Jayne Ann","72733.0000","7","2","-106.76","1","Stevenson, Carol","HOME OFFICE","2001-12-31 00:00:00","31","28391","12","4-NOT SPECIFIED","37","Q4","O","2001","45684","19.8400","OFFICE SUPPLIES","PENS & ART SUPPLIES","ART SUPPLIES","COLORED PENS","0.59","WRAP BAG","345","NO","Newell 345","13","2002-01-15 00:00:00","687.1","4.9900","2002-01-02 00:00:00","9.7500","EXPRESS AIR","0","REGULAR SHIPPING","8080","Supplier_030","WEST","UTAH","0.01","15","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.09","1074","Davis, Nancy","97952.0000","7","3","-33.44","1","Suzanne Lafrenière","HOME OFFICE","1997-06-05 00:00:00","5","34754","6","1-URGENT","34","Q2","F","1997","4117","6.4800","OFFICE SUPPLIES","PAPER","COPY PAPER","COPY PAPER","0.37","SMALL BOX","22","YES","Xerox 22","5","1997-06-13 00:00:00","209.24","4.7400","1997-06-08 00:00:00","4.7400","REGULAR AIR","0","REGULAR SHIPPING","5873","Supplier_098","WEST","CALIFORNIA","0.02","8","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.1","1062","Joan Payne","59439.0000","1","0","29.46","1","Alok Kapoor","HOME OFFICE","1999-07-18 00:00:00","18","32070","7","3-MEDIUM","20","Q3","F","1999","23586","26.9900","TECHNOLOGY","OFFICE MACHINES","CALCULATORS","SCIENTIFIC CALCULATORS","0.38","MEDIUM BOX","718","YES","Casio FX115MSPLUS Scientific Calculator, Solar/Battery, 10-Digit, Hard Case","2","1999-07-20 00:00:00","514.38","13.9900","1999-07-18 00:00:00","13.9900","REGULAR AIR","0","REGULAR SHIPPING","309","Supplier_015","EAST","NEBRASKA","0.03","2","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.1","1082","Noel Staavos","44843.0000","1","2","454.19","1","Bob Pennefather","HOME OFFICE","2001-01-04 00:00:00","4","50753","1","1-URGENT","39","Q1","O","2001","36629","20.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","NOKIA","0.37","WRAP BAG","98","YES","Accessory21","15","2001-01-21 00:00:00","795.69","0.0000","2001-01-06 00:00:00","0.9900","REGULAR AIR","0","FREE SHIPPING","4171","Supplier_074","EAST","NEW JERSEY","0.08","17","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.1","1082","Noel Staavos","44843.0000","1","2","671.81","1","Bob Pennefather","HOME OFFICE","2001-01-04 00:00:00","4","50753","1","1-URGENT","8","Q1","O","2001","36630","500.9800","FURNITURE","BOOKCASES","WOODEN BOOKCASES","WOODEN BOOKCASES","0.66","JUMBO BOX","1018","YES","DMI Eclipse Executive Suite Bookcases","23","2001-01-29 00:00:00","3648.5","41.4400","2001-01-06 00:00:00","41.4400","DELIVERY TRUCK","0","REGULAR SHIPPING","9171","Supplier_024","CENTRAL","ILLINOIS","0","25","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.1","1098","Woods, Jayne Ann","72733.0000","7","2","7048.51","1","Stevenson, Carol","HOME OFFICE","2001-12-31 00:00:00","31","28391","12","4-NOT SPECIFIED","37","Q4","O","2001","45685","367.9900","OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","BINDING MACHINES","BINDING MACHINES","0.4","SMALL BOX","146","NO","Ibico Ibimaster 300 Manual Binding System","15","2002-01-17 00:00:00","13234.39","0.0000","2002-01-02 00:00:00","19.9900","REGULAR AIR","0","FREE SHIPPING","3671","Supplier_099","CENTRAL","WISCONSIN","0.08","17","",""
"EAST","-982","Elizabeth Moffitt","HOME OFFICE","ALABAMA","0.12","1082","Noel Staavos","44843.0000","1","2","2475.11","1","Bob Pennefather","HOME OFFICE","2001-01-04 00:00:00","4","50753","1","1-URGENT","40","Q1","O","2001","36627","199.9900","TECHNOLOGY","COPIERS AND FAX","COPIERS","PERSONAL COPIERS","0.46","LARGE BOX","667","NO","Canon PC-428 Personal Copier","13","2001-01-19 00:00:00","7134.53","24.4900","2001-01-06 00:00:00","24.4900","REGULAR AIR","0","REGULAR SHIPPING","3671","Supplier_099","CENTRAL","WISCONSIN","0.01","15","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0","1066","Harper, Eloise","97245.0000","1","12","93.23","1","Peacock, Margaret","SMALL BUSINESS","2001-09-08 00:00:00","8","24224","9","5-LOW","3","Q3","O","2001","42933","65.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","MOTOROLA","0.55","SMALL BOX","898","YES","StarTAC Series","115","2002-01-13 00:00:00","213.81","0.0000","2001-09-20 00:00:00","3.9000","REGULAR AIR","0","FREE SHIPPING","3556","Supplier_032","EAST","FLORIDA","0.08","127","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0","1071","Francis, Jane","44394.0000","1","2","-363.54","1","MacCallum, Joan","SMALL BUSINESS","2000-11-17 00:00:00","17","16993","11","3-MEDIUM","45","Q4","O","2000","35350","6.9800","OFFICE SUPPLIES","STORAGE & ORGANIZATION","PLASTIC STORAGE","PLASTIC STORAGE","0.83","SMALL BOX","37","YES","Eldon Shelf Savers??? Cubes and Bins","6","2000-11-25 00:00:00","333.21","9.6900","2000-11-19 00:00:00","9.6900","REGULAR AIR","0","REGULAR SHIPPING","3086","Supplier_088","EAST","WASH D.C.","0.03","8","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0","1071","Francis, Jane","44394.0000","1","0","863.08","1","MacCallum, Joan","SMALL BUSINESS","2000-11-17 00:00:00","17","16993","11","3-MEDIUM","25","Q4","O","2000","35353","55.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","NOKIA","0.37","SMALL BOX","999","YES","Accessory42","2","2000-11-19 00:00:00","1455.74","0.0000","2000-11-17 00:00:00","2.9900","REGULAR AIR","0","FREE SHIPPING","3192","Supplier_100","WEST","CALIFORNIA","0.04","2","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0","1087","Brussee, Anne","51792.0000","1","1","-102.59","1","Lambda Sigma","SMALL BUSINESS","2000-07-22 00:00:00","22","36193","7","3-MEDIUM","49","Q3","O","2000","32435","3.8800","OFFICE SUPPLIES","ENVELOPES","PEEL AND SEAL","PEEL AND SEAL","0.37","SMALL BOX","1632","YES","Peel & Seel® Envelopes","2","2000-07-25 00:00:00","208.34","4.9100","2000-07-23 00:00:00","4.9100","REGULAR AIR","0","REGULAR SHIPPING","309","Supplier_015","EAST","NEBRASKA","0.07","3","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0","1087","Brussee, Anne","51792.0000","1","3","-20.61","1","Lambda Sigma","SMALL BUSINESS","2000-07-22 00:00:00","22","36193","7","3-MEDIUM","11","Q3","O","2000","32436","4.9100","OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","HANGING BINDERS","HANGING BINDERS","0.36","SMALL BOX","1511","YES","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue","4","2000-07-29 00:00:00","61.31","5.6800","2000-07-25 00:00:00","5.6800","REGULAR AIR","0","REGULAR SHIPPING","3556","Supplier_032","EAST","FLORIDA","0.03","7","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0","1099","Rowley, Karen","32733.0000","5","2","212.49","1","Stevenson, Carol","SMALL BUSINESS","1998-06-21 00:00:00","21","13827","6","5-LOW","38","Q2","F","1998","13292","14.4800","TECHNOLOGY","COMPUTER PERIPHERALS","MEDIA","DVD","0.49","SMALL PACK","6","YES","TDK 4.7GB DVD+RW","0","1998-06-23 00:00:00","557.73","1.9900","1998-06-23 00:00:00","1.9900","REGULAR AIR","0","REGULAR SHIPPING","6820","Supplier_007","EAST","FLORIDA","0.01","2","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.01","1066","Harper, Eloise","97245.0000","1","12","4.1","1","Peacock, Margaret","SMALL BUSINESS","2001-09-08 00:00:00","8","24224","9","5-LOW","1","Q3","O","2001","42935","9.3100","OFFICE SUPPLIES","SCISSORS, RULERS AND TRIMMERS","SCISSORS","SCISSORS","0.56","SMALL PACK","287","NO","Acme® Forged Steel Scissors with Black Enamel Handles","112","2002-01-10 00:00:00","13.29","3.9800","2001-09-20 00:00:00","3.9800","REGULAR AIR","0","REGULAR SHIPPING","6565","Supplier_042","EAST","DELAWARE","0.01","124","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.01","1069","Johler, Betty","25551.0000","1","7","-90.48","1","MacCallum, Joan","SMALL BUSINESS","2002-08-31 00:00:00","31","16708","8","5-LOW","40","Q3","O","2002","51756","2.7400","OFFICE SUPPLIES","PENS & ART SUPPLIES","PENCIL SHARPENERS","MANUAL SHARPENERS","0.58","SMALL PACK","1755","NO","Rogers Handheld Barrel Pencil Sharpener","11","2002-09-18 00:00:00","113.09","3.5000","2002-09-07 00:00:00","3.5000","REGULAR AIR","0","REGULAR SHIPPING","-632","Supplier_056","WEST","UTAH","0.01","18","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.01","1077","Jon Gustin","87301.0000","1","0","116.93","1","Michael J. Jacobs","SMALL BUSINESS","1997-01-16 00:00:00","16","24864","1","1-URGENT","6","Q1","F","1997","463","48.5800","OFFICE SUPPLIES","APPLIANCES","SURGE PROTECTORS","STRIP PROTECTORS","0.56","SMALL BOX","81","YES","Belkin Premiere Surge Master II 8-outlet surge protector","2","1997-01-18 00:00:00","304.1","3.9900","1997-01-16 00:00:00","3.9900","REGULAR AIR","0","REGULAR SHIPPING","6820","Supplier_007","EAST","FLORIDA","0.04","2","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.01","1079","Dawson, Anne","52084.0000","1","4","1609.88","1","Michael J. Jacobs","SMALL BUSINESS","2000-02-18 00:00:00","18","34437","2","5-LOW","42","Q1","F","2000","28804","83.9300","OFFICE SUPPLIES","ENVELOPES","SPECIALTY ENVELOPES","SPECIALTY ENVELOPES","0.38","SMALL BOX","1652","YES","Airmail Envelopes","4","2000-02-26 00:00:00","3788.98","19.9900","2000-02-22 00:00:00","19.9900","REGULAR AIR","0","REGULAR SHIPPING","4381","Supplier_035","WEST","CALIFORNIA","0.08","8","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.01","1082","Alpha Delta","49315.0000","3","0","-37.24","1","Bob Pennefather","SMALL BUSINESS","1997-02-24 00:00:00","24","35392","2","2-HIGH","9","Q1","F","1997","1431","6.4800","OFFICE SUPPLIES","PAPER","COPY PAPER","COPY PAPER","0.36","SMALL BOX","1993","YES","Xerox 1993","2","1997-02-26 00:00:00","70.88","9.6800","1997-02-24 00:00:00","9.6800","REGULAR AIR","0","REGULAR SHIPPING","2512","Supplier_038","CENTRAL","TEXAS","0.06","2","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.01","1087","Brussee, Anne","51792.0000","1","1","347.9","1","Lambda Sigma","SMALL BUSINESS","2000-07-22 00:00:00","22","36193","7","3-MEDIUM","17","Q3","O","2000","32440","65.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","NOKIA","0.59","SMALL BOX","94","YES","5190","2","2000-07-25 00:00:00","1140.51","7.6900","2000-07-23 00:00:00","7.6900","REGULAR AIR","0","REGULAR SHIPPING","531","Supplier_020","WEST","IDAHO","0.02","3","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.02","1065","Holman, Angie","79043.0000","9","1","1151.89","1","Peacock, Margaret","SMALL BUSINESS","1999-09-26 00:00:00","26","16133","9","1-URGENT","49","Q3","F","1999","25366","55.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","NOKIA","0.56","SMALL PACK","973","YES","Accessory14","3","1999-09-30 00:00:00","2849.96","0.0000","1999-09-27 00:00:00","3.3000","REGULAR AIR","0","FREE SHIPPING","4171","Supplier_074","EAST","NEW JERSEY","0.06","4","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.02","1065","Roush, Cori","45751.0000","10","1","1709","1","Peacock, Margaret","SMALL BUSINESS","1997-04-18 00:00:00","18","24098","4","1-URGENT","32","Q2","F","1997","2843","155.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","ERICSSON","0.58","SMALL BOX","852","YES","LX 788","2","1997-04-21 00:00:00","4891.85","0.0000","1997-04-19 00:00:00","8.9900","REGULAR AIR","0","FREE SHIPPING","287","Supplier_052","CENTRAL","OHIO","0","3","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.02","1074","David & Kitt Barkley","86840.0000","1","1","222.6","1","Suzanne Lafrenière","SMALL BUSINESS","1998-05-06 00:00:00","6","41637","5","4-NOT SPECIFIED","13","Q2","F","1998","12076","35.9900","TECHNOLOGY","TELEPHONES AND COMMUNICATION","WIRELESS AND CELLULAR","NOKIA","0.38","WRAP BAG","998","YES","Accessory41","2","1998-05-09 00:00:00","478.26","5.9900","1998-05-07 00:00:00","5.9900","REGULAR AIR","0","REGULAR SHIPPING","5756","Supplier_001","WEST","COLORADO","0.03","3","",""
"EAST","-723","Laura Armstrong","SMALL BUSINESS","ALABAMA","0.02","1081","Bowman, Suzanne","65523.0000","1","0","46.38","1","Bob Pennefather","SMALL BUSINESS","1997-02-26 00:00:00","26","25637","2","4-NOT SPECIFIED","19","Q1","F","1997","1492","5.9400","OFFICE SUPPLIES","BINDERS AND BINDER ACCESSORIES","ROUND RING BINDERS","ROUND RING BINDERS","0.4","SMALL BOX","1592","YES","Storex Dura Pro??? Binders","2","1997-02-28 00:00:00","119.83","1.4900","1997-02-26 00:00:00","1.4900","REGULAR AIR","0","REGULAR SHIPPING","3793","Supplier_073","WEST","UTAH","0.07","2","",""
